Sort_Order;Full_Species;Species_ID;Parent_ID;English_Name;French_Name;Spanish_Name;Scientific_Name;CDN_Status;Origin;Comment;Avibase_ID;Avibase_Status;Wild_Species_2020;COSEWIC_Species;SARA_Species;2015_MBCA_List;MBCA_Family;Family_Sci;Family_Sci_FR;Family_CmName_EN;Family_CmName_FR;Subfamily;Order;Prev_Species_ID;Prev_CND_Status;Prev_Names_Sci_EN_FR;Technical_Committees;Alpha_Code_BBL;Alpha_Code_FR;BBL_Number;BBS_Number
233;Yes;LENI;;Lesser Nighthawk;Engoulevent minime;Chotacabras Menor;Chordeiles acutipennis;ACC;;;9690689D23AEC109;Accidental;Not Applicable - Non applicable;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Chordeilinae;Caprimulgiformes;;;Texas Nighthawk;LA;LENI;;4210;04210
234;Yes;CONI;;Common Nighthawk;Engoulevent d'Amérique;Chotacabras Zumbón;Chordeiles minor;BRE;;;24E39ACD5692DA4A;Breeder;Apparently Secure - Apparemment en sécurité;Yes;Yes;Yes;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Chordeilinae;Caprimulgiformes;;;Chordeiles virginianus, Engoulevent mange-maringouins;LA;CONI;ENAM;4200;04200
235;Yes;ANNI;;Antillean Nighthawk;Engoulevent piramidig;Añapero Querequeté;Chordeiles gundlachii;DNO;;;E025D44042EE90C5;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Chordeilinae;Caprimulgiformes;;;;N/A;ANNI;;4201;04201
235.999;No;NIGH_UNI;;Unidentified Nighthawk;Engoulevent non identifié;Chotacabras no identificado;;;;;;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Chordeilinae;Caprimulgiformes;;;;LA;;;;04205
236;Yes;COPA;;Common Pauraque;Engoulevent pauraqué;Chotacabras Pauraque;Nyctidromus albicollis;DNO;;;F2CB69EC613FDFE7;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;Pauraque, Paraque, Merrill's Parauque, Merrill's Pauraque;N/A;COPA;;4190;04190
237;Yes;COPO;;Common Poorwill;Engoulevent de Nuttall;Tapacaminos Pandeagua;Phalaenoptilus nuttallii;BRE;;;D621FFC64E8227C8;Breeder;Apparently Secure - Apparemment en sécurité;No;No;Yes;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;COPW;;;LA;COPO;;4180;04180
238;Yes;JAPA;;Jamaican Pauraque;Engoulevent de Jamaïque;Chotacabras Jamaicano;Siphonorhis americana;DNO;;Extinct.;07EC934EA44A7BD0;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;Engoulevent de la Jamaïque;N/A;;;;
239;Yes;LEPA;;Least Pauraque;Engoulevent grouillécor;Chotacabras Torico;Siphonorhis brewsteri;DNO;;;5E7F4216B182D7C4;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;;N/A;;;;
240;Yes;EAPO;;Eared Poorwill;Engoulevent aztèque;Tapacaminos Prío;Nyctiphrynus mcleodii;DNO;;;4175CC3449DDC61E;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;;N/A;;;;12060
241;Yes;YUPO;;Yucatan Poorwill;Engoulevent du Yucatan;Tapacaminos Huil;Nyctiphrynus yucatanicus;DNO;;;AD1A73F67728A0E6;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;;N/A;;;;12070
242;Yes;OCPO;;Ocellated Poorwill;Engoulevent ocellé;Pachacua Ocelada;Nyctiphrynus ocellatus;DNO;;;F546974F05BC6A46;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;;N/A;;;;
243;Yes;CWWI;;Chuck-will's-widow;Engoulevent de Caroline;Tapacaminos de Carolina;Antrostomus carolinensis;BRE_OCC;;"One nest confirmed at Pt Pelee in 1977 (likely breeding from 1975-1979); singing males seen yearly in S.On and Maritimes but 1977 nest the only one confirmed for Canada (Cadman et al. 2007).";8D3E887123F5C670;Exceptional/rare visitor and exceptional breeder;Not Applicable - Non applicable;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;UNK_1977;Caprimulgus carolinensis;LA;CWWI;;4160;04160
244;Yes;RUNI;;Rufous Nightjar;Engoulevent roux;Chotacabras Colorado;Antrostomus rufus;DNO;;;F331D204EB98A477;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;Caprimulgus rufus;N/A;;;;
245;Yes;CUNI;;Cuban Nightjar;Engoulevent de Cuba;Guabairo;Antrostomus cubanensis;DNO;;Formerly considered conspecific with A. ekmani until AOS 64 (2023);A89EA38B0FDDB224;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;GANI;;Greater Antillean Nightjar, Engoulevent peut-on-voir, Caprimulgus cubanensis;N/A;;;;
246;Yes;HINI;;Hispaniolan Nightjar;Engoulevent d'Hispaniola;Pitanguá;Antrostomus ekmani;DNO;;Formerly considered conspecific with A. cubanensis until AOS 64 (2023);592DBE5008F4F3CB;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;;N/A;;;;
247;Yes;TCNI;;Tawny-collared Nightjar;Engoulevent de Salvin;Tapacaminos Ticurú;Antrostomus salvini;DNO;;;100B2E32F2DAA4DD;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;Caprimulgus salvini;N/A;;;;12120
248;Yes;YUNI;;Yucatan Nightjar;Engoulevent maya;Tapacaminos Yucateco;Antrostomus badius;DNO;;;0D4BB4356C5035BE;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;Caprimulgus badius;N/A;;;;12121
249;Yes;BCNI;;Buff-collared Nightjar;Engoulevent de Ridgway;Tapacaminos Tucuchillo;Antrostomus ridgwayi;DNO;;;C0F335B7A49738D8;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;Caprimulgus ridgwayi;N/A;BCNI;;4161;04161
250;Yes;EWPW;;Eastern Whip-poor-will;Engoulevent bois-pourri;Tapacaminos Cuerporruín Norteño;Antrostomus vociferus;BRE;;"Split Whip-poor-will into Eastern and Mexican; AOU 51.";1A09655B1DFED41F;Breeder;Vulnerable - Vulnérable;Yes;Yes;Yes;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;Caprimulgus vociferus, Whip-poor-will;LA;EWPW;ENBP;4170;04171
251;Yes;DUNI;;Dusky Nightjar;Engoulevent montagnard;Chotacabras Fuliginoso;Antrostomus saturatus;DNO;;;67D59645BA3EBC4C;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;Caprimulgus noctitherus;N/A;;;;
252;Yes;MWPW;;Mexican Whip-poor-will;Engoulevent d'Arizona;Tapacaminos Cuerporruín Mexicano;Antrostomus arizonae;UNK;;"Split Whip-poor-will into Eastern and Mexican; AOU 51.";CED2468C3EF9B42C;Taxonomic error/Status unclear;Not Applicable - Non applicable;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;ACC_2021;Caprimulgus saturatus, Whip-poor-will;LA;MWPW;;4172;04172
253;Yes;PRNI;;Puerto Rican Nightjar;Engoulevent de Porto Rico;Chotacabras Portorriqueño;Antrostomus noctitherus;DNO;;;56DB04E7BB2A1FB8;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;Caprimulgus arizonae;N/A;PRNI;;4171;12130
254;Yes;WTNI;;White-tailed Nightjar;Engoulevent coré;Chotacabras Coliblanco;Hydropsalis cayennensis;DNO;;;663835A693CBCD31;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;Caprimulgus cayennensis;N/A;;;;
255;Yes;SPTN;;Spot-tailed Nightjar;Engoulevent à queue étoilée;Tapacaminos Sabanero;Hydropsalis maculicaudus;DNO;;;28045DA0D3FB6B69;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;Caprimulgus maculicaudus;N/A;;;;12160
256;Yes;GRNI;;Gray Nightjar;Engoulevent jotaka;Chotacabras de Jungla;Caprimulgus jotaka;DNO;;Formerly considered conspecific with Caprimulgus indicus (deleted AOU 59) and C. phalaena.;7A2734EBA8ACDB85;;;No;No;No;Yes;Caprimulgidae;Caprimulgidés;Nightjars;Engoulevents;Caprimulginae;Caprimulgiformes;;;Caprimulgus indicus, Pauraque, Jungle Nightjar, Palau Nightjar;N/A;;;;04162
257;Yes;OILB;;Oilbird;Guacharo des cavernes;Guácharo;Steatornis caripensis;DNO;;;A820F1653743ABDF;;;No;No;No;No;Steatornithidae;Steatornithidae;;;;Steatornithiformes;;;Guácharo;N/A;;;;
258;Yes;GRPO;;Great Potoo;Grand Ibijau;Pájaro Estaca Mayor;Nyctibius grandis;DNO;;;EBEFFDBF2E7B41B9;;;No;No;No;No;Nyctibiidae;Nyctibiidés;Potoos;Ibijaux;;Nyctibiiformes;;;;N/A;;;;12170
259;Yes;CPOT;;Common Potoo;Ibijau gris;Nictibio Urutaú;Nyctibius griseus;DNO;;;7333ADB3332EB885;;;No;No;No;No;Nyctibiidae;Nyctibiidés;Potoos;Ibijaux;;Nyctibiiformes;;;;N/A;;;;12181
260;Yes;NORP;;Northern Potoo;Ibijau jamaïcain;Pájaro Estaca Norteño;Nyctibius jamaicensis;DNO;;;5F312992A72C6B56;;;No;No;No;No;Nyctibiidae;Nyctibiidés;Potoos;Ibijaux;;Nyctibiiformes;;;;N/A;;;;12180
261;Yes;BLSW;;Black Swift;Martinet sombre;Vencejo Negro;Cypseloides niger;BRE;;;7FB66FEB52C865E7;Breeder;Imperiled - En péril;Yes;Yes;Yes;Yes;Apodidae;Apodidés;Swifts;Martinets;Cypseloidinae;Apodiformes;;;Martinet noir d'Amérique;LA;BLSW;;4220;04220
262;Yes;WFSW;;White-fronted Swift;Martinet de Storer;Vencejo Cara Blanca;Cypseloides storeri;DNO;;;DD9CB47877D365BF;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Cypseloidinae;Apodiformes;;;;N/A;;;;12210
263;Yes;WCHS;;White-chinned Swift;Martinet à menton blanc;Vencejo Barbiblanco;Cypseloides cryptus;DNO;;;0770CE133D46975C;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Cypseloidinae;Apodiformes;;;;N/A;;;;
264;Yes;SFSW;;Spot-fronted Swift;Martinet à points blancs;Vencejo Cuatro-ojos;Cypseloides cherriei;DNO;;;258B1B375050DC54;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Cypseloidinae;Apodiformes;;;;N/A;;;;
265;Yes;CCSW;;Chestnut-collared Swift;Martinet à collier roux;Vencejo Cuello Castaño;Streptoprocne rutila;DNO;;;50222B1F0367C7EA;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Cypseloidinae;Apodiformes;;;;N/A;;;;12220
266;Yes;WCSW;;White-collared Swift;Martinet à collier blanc;Vencejo Collar Blanco;Streptoprocne zonaris;ACC;;OFO Checklist (2002).;88D7E68DB7827611;Accidental;Not Applicable - Non applicable;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Cypseloidinae;Apodiformes;;DNO_2002;;LA;;;;04221
267;Yes;WNSW;;White-naped Swift;Martinet à nuque blanche;Vencejo Nuca Blanca;Streptoprocne semicollaris;DNO;;;6CDEB3D115C1472A;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Cypseloidinae;Apodiformes;;;;N/A;;;;12230
268;Yes;GRSW;;Gray-rumped Swift;Martinet à croupion gris;Vencejo Ceniciento;Chaetura cinereiventris;DNO;;;0F898234A1C10960;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Chaeturinae;Apodiformes;;;;N/A;;;;
269;Yes;BRSW;;Band-rumped Swift;Martinet spinicaude;Martinet spinicaude;Chaetura spinicaudus;DNO;;;AEFB81579C0FD9FD;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Chaeturinae;Apodiformes;;;;N/A;;;;
270;Yes;CRSW;;Costa Rican Swift;Martinet du Costa Rica;Vencejo costarricense;Chaetura fumosa;DNO;;;7DBCF8E458A82450;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Chaeturinae;Apodiformes;;;;N/A;;;;
271;Yes;LASW;;Lesser Antillean Swift;Martinet chiquesol;Vencejo de Martinica;Chaetura martinica;DNO;;;0E688C13CA448F27;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Chaeturinae;Apodiformes;;;;N/A;;;;
272;Yes;CHSW;;Chimney Swift;Martinet ramoneur;Vencejo de Chimenea;Chaetura pelagica;BRE;;;C3AD1AFF63D26461;Breeder;Vulnerable - Vulnérable;Yes;Yes;Yes;Yes;Apodidae;Apodidés;Swifts;Martinets;Chaeturinae;Apodiformes;;;;LA;CHSW;MARA;4230;04230
273;Yes;VASW;;Vaux's Swift;Martinet de Vaux;Vencejo de Vaux;Chaetura vauxi;BRE;;;0EB30FB8D2770BA8;Breeder;Secure - En sécurité;No;No;Yes;Yes;Apodidae;Apodidés;Swifts;Martinets;Chaeturinae;Apodiformes;;;Martinet sylvestre;LA;VASW;;4240;04240
274;Yes;CHAS;;Chapman's Swift;Martinet de Chapman;Vencejo de Chapman;Chaetura chapmani;DNO;;;B4EA32F1CF2FB671;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Chaeturinae;Apodiformes;;;;N/A;;;;
275;Yes;SISW;;Sick's Swift;Martinet de Sick;Vencejo de tormenta;Chaetura meridionalis;DNO;;"Added in 2011; formerly considered subspecies of C. andrei.";C228806464245DA2;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Chaeturinae;Apodiformes;;;Chaetura andrei, Ashy-tailed Swift;N/A;;;;
276;Yes;STSW;;Short-tailed Swift;Martinet polioure;Vencejo Rabón;Chaetura brachyura;DNO;;;5368983F2524C467;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Chaeturinae;Apodiformes;;;;N/A;STSW;;4231;12250
277;Yes;WTNE;;White-throated Needletail;Martinet épineux;Vencejo Mongol;Hirundapus caudacutus;DNO;;;EA55CA2791012786;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Chaeturinae;Apodiformes;;;;N/A;;;;04222
278;Yes;MASW;;Mariana Swiftlet;Salangane de Guam;Salangana de Guam;Aerodramus bartschi;DNO;;;F8E58F0F524E897C;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Chaeturinae;Apodiformes;;;Guam Swiftlet, Mariana Gray Swiftlet;N/A;MASW;;8800;
279;Yes;COSW;;Common Swift;Martinet noir;Vencejo Común;Apus apus;ACC;;Avibase records from QC and NL.;4E6EF3F983079D73;Accidental;Not Applicable - Non applicable;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Apodinae;Apodiformes;;DNO_2017;;LA;;;;04242
280;Yes;FTSW;;Fork-tailed Swift;Martinet de Sibérie;Vencejo del Pacífico;Apus pacificus;UNK;;;68E950E5CA07E621;Rare, not yet confirmed by specimen or photo;Not Applicable - Non applicable;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Apodinae;Apodiformes;;;White-rumped Swift;LA;;;;04241
281;Yes;ALSW;;Alpine Swift;Martinet à ventre blanc;Vencejo Real;Apus melba;DNO;;;FA1CAD2906F7C845;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Apodinae;Apodiformes;;;;N/A;;;;
282;Yes;WTSW;;White-throated Swift;Martinet à gorge blanche;Vencejo Pecho Blanco;Aeronautes saxatalis;BRE;;;B401C2DDB3ED732D;Breeder;Vulnerable - Vulnérable;No;No;Yes;Yes;Apodidae;Apodidés;Swifts;Martinets;Apodinae;Apodiformes;;;Aeronautes melanoleucus;LA;WTSW;;4250;04250
283;Yes;LSTS;;Lesser Swallow-tailed Swift;Martinet de Cayenne;Vencejo Tijereta Menor;Panyptila cayennensis;DNO;;;9E39F33E98521BB0;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Apodinae;Apodiformes;;;;N/A;;;;12310
284;Yes;GSTS;;Great Swallow-tailed Swift;Martinet de San Geronimo;Vencejo Tijereta Mayor;Panyptila sanctihieronymi;DNO;;;88679F12CCF6C834;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Apodinae;Apodiformes;;;;N/A;;;;12320
285;Yes;ANPS;;Antillean Palm-Swift;Martinet petit-rollé;Vencejillo Antillano;Tachornis phoenicobia;DNO;;;C2077AD8350A8F28;;;No;No;No;Yes;Apodidae;Apodidés;Swifts;Martinets;Apodinae;Apodiformes;APSW;;;N/A;;;;04251
286;Yes;WNJA;;White-necked Jacobin;Colibri jacobin;Colibrí Capucha Azul;Florisuga mellivora;DNO;;Subfamily changed from Topazinae to Florisuginae in AOS 64 (2023);80DA04641FA03DC5;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Florisuginae;Apodiformes;;;;N/A;;;;12480
287;Yes;WTSI;;White-tipped Sicklebill;Bec-en-faucille aigle;Picohoz Coliverde;Eutoxeres aquila;DNO;;;656474D99FC4C3EE;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Phaethornithinae;Apodiformes;;;;N/A;;;;
288;Yes;BRHE;;Bronzy Hermit;Ermite bronzé;Ermitaño Bronceado;Glaucis aeneus;DNO;;;2ABFB40A638B22E5;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Phaethornithinae;Apodiformes;;;;N/A;;;;
289;Yes;RBHE;;Rufous-breasted Hermit;Ermite hirsute;Ermitaño Hirsuto;Glaucis hirsutus;DNO;;;2486FC7807369CB1;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Phaethornithinae;Apodiformes;;;;N/A;;;;
290;Yes;BTBA;;Band-tailed Barbthroat;Ermite de Rucker;Ermitaño Barbudo Colibandeado;Threnetes ruckeri;DNO;;;DDCF894EA9B05C78;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Phaethornithinae;Apodiformes;;;Ermite de Rücker;N/A;;;;
291;Yes;GREH;;Green Hermit;Ermite vert;Ermitaño Verde;Phaethornis guy;DNO;;;5C47DAE84A06C3A6;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Phaethornithinae;Apodiformes;;;;N/A;;;;
292;Yes;MEHE;;Mexican Hermit;Ermite de Hartert;Colibrí Ermitaño Mexicano;Phaethornis mexicanus;DNO;;Formerly considered conspecific with Phaethornis longirostris.;64C06E6B8BEF17EB;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Phaethornithinae;Apodiformes;;;;N/A;;;;12481
293;Yes;LBIH;;Long-billed Hermit;Ermite à longue queue;Colibrí Ermitaño Mesoamericano;Phaethornis longirostris;DNO;;;E2EAB55EDD4F6C34;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Phaethornithinae;Apodiformes;;;;N/A;;;;12370
294;Yes;PBHE;;Pale-bellied Hermit;Ermite anthophile;Ermitaño Ventripálido;Phaethornis anthophilus;DNO;;;0636BA022DB80318;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Phaethornithinae;Apodiformes;;;;N/A;;;;
295;Yes;STHR;;Stripe-throated Hermit;Ermite à gorge rayée;Colibrí Ermitaño Enano;Phaethornis striigularis;DNO;;;2FF56FC2768182FE;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Phaethornithinae;Apodiformes;SRTH;;;N/A;;;;12390
296;Yes;GFRL;;Green-fronted Lancebill;Porte-lance de Louise;Colibrí Picolanza Mayor;Doryfera ludovicae;DNO;;;0EB01930E20923FD;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;;;;
297;Yes;BRVI;;Brown Violetear;Colibri de Delphine;Colibrí Pardo;Colibri delphinae;DNO;;;A76C26A1F4E07B49;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;;;;
298;Yes;MEVI;;Mexican Violetear;Colibri thalassin;Colibrí Orejas Violetas;Colibri thalassinus;ACC;;"Added in 2016; formerly considered conspecific with Lesser Violetear.";B9BA20586E39B234;Accidental;Not Applicable - Non applicable;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;GREV, GRVE;;Green Violetear, Green Violet-ear;LA;MEVI;;4271;04271
299;Yes;LEVI;;Lesser Violetear;Colibri cyanote;Lesser Violet-ear;Colibri cyanotus;DNO;;"Added in 2016; formerly considered conspecific with Mexican Violetear.";94CB63F7A26DE616;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;Green Violetear, Green Violet-ear;N/A;;;;
300;Yes;TBHU;;Tooth-billed Hummingbird;Colibri d'Équateur;Colibrí Piquidentado;Androdon aequatorialis;DNO;;;E82816C6C2091FEC;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;;;;
301;Yes;PCFA;;Purple-crowned Fairy;Colibri féérique;Colibrí Hada Enmascarada;Heliothryx barroti;DNO;;;B70BC2CB300418D0;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;;;;13100
302;Yes;RTOH;;Ruby-topaz Hummingbird;Colibri rubis-topaze;Colibrí Rubí;Chrysolampis mosquitus;DNO;;;0ED012F9F8E9BA80;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;;;;
303;Yes;GNBM;;Green-breasted Mango;Mango de Prévost;Colibrí Garganta Negra;Anthracothorax prevostii;DNO;;;E266FD04521300C3;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;GREM;;;N/A;GREM;;4366;12500
304;Yes;BTMA;;Black-throated Mango;Mango à cravate noire;Mango Gorginegro;Anthracothorax nigricollis;DNO;;;36FEAD7A7F45381D;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;;;;
305;Yes;VERM;;Veraguan Mango;Mango de Veraguas;Mango de Veragua;Anthracothorax veraguensis;DNO;;;24DDBD0D95248C55;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;VEMA;;;N/A;;;;
306;Yes;HIMA;;Hispaniolan Mango;Mango doré;Mango dominicano;Anthracothorax dominicus;DNO;;;C8DB5DBFE3A619C3;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;ANMI;;Antillean Mango;N/A;;;;12530
307;Yes;PRMA;;Puerto Rican Mango;Mango de Porto Rico;Mango puertorriqueño dorado;Anthracothorax aurulentus;DNO;;"Added in 2023; formerly considered conspecified with A. dominicus";3C70A96A5957667B;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;PRMA;;9067;
308;Yes;GMAG;;Green Mango;Mango vert;Mango Portorriqueño;Anthracothorax viridis;DNO;;;0368001865627A6F;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;GRMA;;;N/A;GRMA;;4362;12540
309;Yes;JAMA;;Jamaican Mango;Mango de Jamaïque;Mango Jamaicano;Anthracothorax mango;DNO;;;99EDC044313AE4D2;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;Mango de la Jamaïque;N/A;JAMA;;4361;
310;Yes;PTCA;;Purple-throated Carib;Colibri madère;Colibrí Caribeño Gorgimorado;Eulampis jugularis;DNO;;;BFD2BE29D18BDECF;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;;;;
311;Yes;GTCA;;Green-throated Carib;Colibri falle-vert;Colibrí Caribeño Gorgiverde;Eulampis holosericeus;DNO;;;C68FB6978E4716E7;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;GTCA;;4363;12560
312;Yes;GRET;;Green Thorntail;Coquette à queue fine;Rabudito Verde;Discosura conversii;DNO;;;88B5FB8A0B0FA9C5;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;;;;
313;Yes;SCCO;;Short-crested Coquette;Coquette du Guerrero;Coqueta de Atoyac;Lophornis brachylophus;DNO;;;B4FBA85D4AEBDFEC;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;;;;12601
314;Yes;RCRC;;Rufous-crested Coquette;Coquette de Delattre;Coqueta Crestirrufa;Lophornis delattrei;DNO;;;043F6C7197E0D13E;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;;;;12600
315;Yes;BCCO;;Black-crested Coquette;Coquette d'Hélène;Coqueta Cresta Negra;Lophornis helenae;DNO;;;DA45F747A57A98AD;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;;;;12610
316;Yes;WCCO;;White-crested Coquette;Coquette adorable;Coqueta Adorable;Lophornis adorabilis;DNO;;;277C3C504C357F1A;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;;;;
317;Yes;GRPU;;Greenish Puffleg;Érione d'Aurélie;Colibrí Pantalón Verdoso;Haplophaedia aureliae;DNO;;;A10F06E5BFD32C7C;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;;;;
318;Yes;GCBR;;Green-crowned Brilliant;Brillant fer-de-lance;Brillante Coroniverde;Heliodoxa jacula;DNO;;;826BF290C159A3EE;;;No;No;No;Yes;Trochilidae;Trochilidés;Hummingbirds;Colibris;Trochilinae;Apodiformes;;;;N/A;;;;
